Categoria,Marca,Modelo,Motor,Versão,Transmissão Velocidades (nº),Ar Cond,Direção Assistida,Combustível
ESPORTIVO,PORSCHE,911,3.0-24V,Carrera 4S Cabriolet,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.0-24V,Targa 4 S,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.0-24V,Carrera 4,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.0-24V,Carrera 4 Cabriolet,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.0-24V,Targa 4,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.8-24V,Turbo,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.8-24V,Turbo Cabriolet,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.8-24V,Turbo S,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.8-24V,Turbo S Cabriolet,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.0-24V,Car GTS CA,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.0-24V,CarreraGTS,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.0-24V,Car4 GTSCA,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.0-24V,Targa 4GTS,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.0-24V,Car 4 GTS,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.0-24V,Carrera T,DCT-7,S,E,G
ESPORTIVO,PORSCHE,911,3.0-24V,Carrera T,M-7,S,E,G
ESPORTIVO,PORSCHE,911,3.8-24V,GT2 RS,DCT-7,S,E,G
ESPORTIVO,PORSCHE,911,4.0-24V,GT3 RS,DCT-7,S,E,G
ESPORTIVO,PORSCHE,911,4.0-24V,GT3,DCT-7,S,E,G
ESPORTIVO,PORSCHE,Boxster,2.0-16V,***,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,Boxster,2.5-16V,S,DCT-7,S,E-H,G
